A    aa
PIS    p ih s
PISAH    p ih s aa hh
PISANG    p ih s aa ng
PISAU    p ih s ##
PISES    p ih s ## s
PISIFORMIS    p ih s ih f ao r m ih s
PISIK    p ih s ih k
PISIN    p ih s ih n
PISIT    p ih s ih t
PISITAN    p ih s ih t aa n
PISOVONUS    p ih s ao f ao n uw s
PISPOT    p ih s p ao t
PISTOL    p ih s t ao l
PISTOM    p ih s t ao m
PISTON    p ih s t ao n
PISUH    p ih s uw hh
PIT    p ih t
PITA    p ih t aa
PITAK    p ih t aa k
PITAM    p ih t aa m
PITANGGANG    p ih t aa ng g aa ng
PITAR    p ih t aa r
PITARAH    p ih t aa r aa hh
PITAWAT    p ih t aa w aa t
PITING    p ih t ih ng
PITIRIASIS    p ih t ih r ih aa s ih s
PITIS    p ih t ih s
PITOMETER    p ih t ao m ## t ## r
PITON    p ih t ao n
PITOT    p ih t ao t
PITUT    p ih t uw t
PIUH    p ih uw hh
PIUNG    p ih uw ng
PIUT    p ih uw t
PIUTANG    p ih uw t aa ng
PIVOT    p ih f ao t
PIWULANG    p ih w uw l aa ng
PIYIK    p ih y ih k
PIZA    p ih z aa
PLAFON    p l aa f ao n
PLAGIARISME    p l aa g ih aa r ih s m ##
PLAGIAT    p l aa g ih aa t
PLAGIATOR    p l aa g ih aa t ao r
PLAGIOKLAS    p l aa g ih ao k l aa s
PLAKAT    p l aa k aa t
PLAKET    p l aa k ## t
PLAKSEGEL    p l aa k s ## g ## l
PLAMIR    p l aa m ih r
PLAN    p l aa n
PLANARIA    p l aa n aa r ih aa
PLANEL    p l aa n ## l
PLANET    p l aa n ## t
PLANETARIUM    p l aa n ## t aa r ih uw m
PLANETOID    p l aa n ## t ## d
PLANG    p l aa ng
PLANGKAN    p l aa ng k aa n
PLANIMETER    p l aa n ih m ## t ## r
PLANIMETRI    p l aa n ih m ## t r ih
PLANING    p l aa n ih ng
PLANISFER    p l aa n ih s f ## r
PLANKTON    p l aa n k t ao n
PLANO    p l aa n ao
PLANOLOGI    p l aa n ao l ao g ih
PLANOLOGIS    p l aa n ao l ao g ih s
PLANOSPORA    p l aa n ao s p ao r aa
PLANTASE    p l aa n t aa s ##
PLANULA    p l aa n uw l aa
PLASENTA    p l aa s ## n t aa
PLASER    p l aa s ## r
PLASMA    p l aa s m aa
PLASMODIUM    p l aa s m ao d ih uw m
PLASMOSIS    p l aa s m ao s ih s
PLASTID    p l aa s t ih d
PLASTIK    p l aa s t ih k
PLASTIN    p l aa s t ih n
PLASTIS    p l aa s t ih s
PLASTISITAS    p l aa s t ih s ih t aa s
PLASTOGAMI    p l aa s t ao g aa m ih
PLASTOMETER    p l aa s t ao m ## t ## r
PLASTRON    p l aa s t r ao n
PLATELET    p l aa t ## l ## t
PLATFORM    p l aa t f ao r m
PLATINA    p l aa t ih n aa
PLATINOID    p l aa t ih n ## d
PLATINUM    p l aa t ih n uw m
PLATISMA    p l aa t ih s m aa
PLATO    p l aa t ao
PLATONIK    p l aa t ao n ih k
PLATONISME    p l aa t ao n ih s m ##
PLAZA    p l aa z aa
PLEBISIT    p l ## b ih s ih t
PLEIDOI    p l ## d ##
PLEIOGAMI    p l ## ao g aa m ih
PLEISTOSEN    p l ## s t ao s ## n
PLEKSUS    p l ## k s uw s
PLENGKUNG    p l ## ng k uw ng
PLENO    p l ## n ao
PLEONASME    p l ## ao n aa s m ##
PLEOPOD    p l ## ao p ao d
PLEREM    p l ## r ## m
PLESTER    p l ## s t ## r
PLETORA    p l ## t ao r aa
PLEURA    p l ## uw r aa
PLINPLAN    p l ih n p l aa n
PLINTAT-PLINTUT    p l ih n t aa t p l ih n t uw t
PLINTENG    p l ih n t ## ng
PLINTIT    p l ih n t ih t
PLIOSAURUS    p l ih ao s ## r uw s
PLIOSEN    p l ih ao s ## n
PLOI    p l ##
PLOIDI    p l ## d ih
PLOMBIR    p l ao m b ih r
PLONCI    p l ao n ch ih
PLONCO    p l ao n ch ao
PLONG    p l ao ng
PLONGA-PLONGO    p l ao ng aa p l ao ng ao
PLONTOS    p l ao n t ao s
PLOSIF    p l ao s ih f
PLOT    p l ao t
PLUG    p l uw g
PLUMBAGO    p l uw m b aa g ao
PLUMBUM    p l uw m b uw m
PLUMBUNG    p l uw m b uw ng
PLURAL    p l uw r aa l
PLURALIS    p l uw r aa l ih s
PLURALISME    p l uw r aa l ih s m ##
PLURALISTIS    p l uw r aa l ih s t ih s
PLURIFORM    p l uw r ih f ao r m
PLUS    p l uw s
PLUTO    p l uw t ao
PLUTOKRASI    p l uw t ao k r aa s ih
PLUTONIK    p l uw t ao n ih k
PLUTONIUM    p l uw t ao n ih uw m
PLUVIAL    p l uw f ih aa l
PLUVIOGRAF    p l uw f ih ao g r aa f
PLUVIOMETER    p l uw f ih ao m ## t ## r
PNEUMATIKA    p n ## uw m aa t ih k aa
PNEUMATOFOS    p n ## uw m aa t ao f ao s
PNEUMATOKISTA    p n ## uw m aa t ao k ih s t aa
PNEUMONIA    p n ## uw m ao n ih aa
PO    p ao
POAL    p ao aa l
POCES    p ao ch ## s
POCI    p ao ch ih
POCOK    p ao ch ao k
POCONG    p ao ch ao ng
PODEMPOREM    p ao d ## m p ao r ## m
PODIKAL    p ao d ih k aa l
PODIUM    p ao d ih uw m
POETIKA    p ao ## t ih k aa
POF    p ao f
POGROM    p ao g r ao m
POHON    p ao hh ao n
POIKILOHALIN    p ## k ih l ao hh aa l ih n
POIKILOTERM    p ## k ih l ao t ## r m
POIN    p ## n
POINT    p ## n t
POISE    p ## s ##
POISEUILLE    p ## s ## uw ih l l ##
POJOK    p ao jh ao k
POK    p ao k
POKAH    p ao k aa hh
POKENG    p ao k ## ng
POKER    p ao k ## r
POKET    p ao k ## t
POKO    p ao k ao
POKOK    p ao k ao k
POKROL    p ao k r ao l
POKSAI    p ao k s ##
POKTA    p ao k t aa
POL    p ao l
POLA    p ao l aa
POLAH    p ao l aa hh
POLAN    p ao l aa n
POLANG    p ao l aa ng
POLARIMETER    p ao l aa r ih m ## t ## r
POLARIMETRI    p ao l aa r ih m ## t r ih
POLARIS    p ao l aa r ih s
POLARISASI    p ao l aa r ih s aa s ih
POLARITAS    p ao l aa r ih t aa s
POLDAN    p ao l d aa n
POLDER    p ao l d ## r
POLEMIK    p ao l ## m ih k
POLEMIS    p ao l ## m ih s
POLEN    p ao l ## n
POLENG    p ao l ## ng
POLENTER    p ao l ## n t ## r
POLER    p ao l ## r
POLES    p ao l ## s
POLET    p ao l ## t
POLI-    p ao l ih
POLIANDRI    p ao l ih aa n d r ih
POLIANTUS    p ao l ih aa n t uw s
POLIESTER    p ao l ih ## s t ## r
POLIFAGIA    p ao l ih f aa g ih aa
POLIFASE    p ao l ih f aa s ##
POLIFONI    p ao l ih f ao n ih
POLIGAM    p ao l ih g aa m
POLIGAMI    p ao l ih g aa m ih
POLIGINI    p ao l ih g ih n ih
POLIGLOT    p ao l ih g l ao t
POLIGLOTISME    p ao l ih g l ao t ih s m ##
POLIGON    p ao l ih g ao n
POLIGRAF    p ao l ih g r aa f
POLIHALIN    p ao l ih hh aa l ih n
POLIKEL    p ao l ih k ## l
POLIKET    p ao l ih k ## t
POLIKLINIK    p ao l ih k l ih n ih k
POLIKROM    p ao l ih k r ao m
POLIKULTUR    p ao l ih k uw l t uw r
POLIMER    p ao l ih m ## r
POLIMERISASI    p ao l ih m ## r ih s aa s ih
POLINIA    p ao l ih n ih aa
POLIO    p ao l ih ao
POLIP    p ao l ih p
POLIPEPTIDA    p ao l ih p ## p t ih d aa
POLIPETAL    p ao l ih p ## t aa l
POLIPLOID    p ao l ih p l ## d
POLIPROPILENA    p ao l ih p r ao p ih l ## n aa
POLIS    p ao l ih s
POLISAKARIDA    p ao l ih s aa k aa r ih d aa
POLISEMI    p ao l ih s ## m ih
POLISENTRISME    p ao l ih s ## n t r ih s m ##
POLISEPAL    p ao l ih s ## p aa l
POLISI    p ao l ih s ih
POLISIKLIS    p ao l ih s ih k l ih s
POLISILOGISME    p ao l ih s ih l ao g ih s m ##
POLISINDETON    p ao l ih s ih n d ## t ao n
POLISIONAL    p ao l ih s ih ao n aa l
POLISPERMI    p ao l ih s p ## r m ih
POLISTER    p ao l ih s t ## r
POLITBIRO    p ao l ih t b ih r ao
POLITEIS    p ao l ih t ## s
POLITEISME    p ao l ih t ## s m ##
POLITEISTIS    p ao l ih t ## s t ih s
POLITEKNIK    p ao l ih t ## k n ih k
POLITENA    p ao l ih t ## n aa
POLITIK    p ao l ih t ih k
POLITIKA    p ao l ih t ih k aa
POLITIKUS    p ao l ih t ih k uw s
POLITIS    p ao l ih t ih s
POLITISASI    p ao l ih t ih s aa s ih
POLIURETAN    p ao l ih uw r ## t aa n
POLIVINI    p ao l ih f ih n ih
POLIZOA    p ao l ih z ao aa
POLKA    p ao l k aa
POLKADOT    p ao l k aa d ao t
POLMAH    p ao l m aa hh
POLO    p ao l ao
POLOK    p ao l ao k
POLONES    p ao l ao n ## s
POLONG    p ao l ao ng
POLONIUM    p ao l ao n ih uw m
POLONTER    p ao l ao n t ## r
POLOS    p ao l ao s
POLUSI    p ao l uw s ih
POLUTAN    p ao l uw t aa n
POLUTIF    p ao l uw t ih f
POMA    p ao m aa
POMADE    p ao m aa d ##
POMOLOGI    p ao m ao l ao g ih
POMPA    p ao m p aa
POMPANG    p ao m p aa ng
POMPON    p ao m p ao n
POMPONG    p ao m p ao ng
PON    p ao n
PONAKAN    p ao n aa k aa n
PONCO    p ao n ch ao
PONDAMEN    p ao n d aa m ## n
PONDAR    p ao n d aa r
PONDERABILITAS    p ao n d ## r aa b ih l ih t aa s
PONDIK    p ao n d ih k
PONDOH    p ao n d ao hh
PONDOK    p ao n d ao k
PONDONG    p ao n d ao ng
PONGAH    p ao ng aa hh
PONGGANG    p ao ng g aa ng
PONGGOK    p ao ng g ao k
PONGKOL    p ao ng k ao l
PONGSU    p ao ng s uw
PONI    p ao n ih
PONIL    p ao n ih l
PONOK    p ao n ao k
PONOR    p ao n ao r
PONS    p ao n s
PONTANG-PANTING    p ao n t aa ng p aa n t ih ng
PONTEN    p ao n t ## n
PONTOH    p ao n t ao hh
PONTON    p ao n t ao n
POO    p ao ao
POP    p ao p
POPELIN    p ao p ## l ih n
POPI    p ao p ih
POPOK    p ao p ao k
POPOR    p ao p ao r
POPULARISASI    p ao p uw l aa r ih s aa s ih
POPULARITAS    p ao p uw l aa r ih t aa s
POPULASI    p ao p uw l aa s ih
POPULER    p ao p uw l ## r
POPULIS    p ao p uw l ih s
POPULISME    p ao p uw l ih s m ##
PORA    p ao r aa
PORAH    p ao r aa hh
PORAK-PARIK    p ao r aa k p aa r ih k
PORAK-PERANDA    p ao r aa k p ## r aa n d aa
PORAK-PORANDA    p ao r aa k p ao r aa n d aa
PORFIRIA    p ao r f ih r ih aa
PORI    p ao r ih
PORISITAS    p ao r ih s ih t aa s
PORNO    p ao r n ao
PORNOGRAFI    p ao r n ao g r aa f ih
PORNOGRAFIS    p ao r n ao g r aa f ih s
POROK    p ao r ao k
PORONG    p ao r ao ng
POROS    p ao r ao s
POROSITAS    p ao r ao s ih t aa s
POROT    p ao r ao t
PORSELEN    p ao r s ## l ## n
PORSI    p ao r s ih
PORTA    p ao r t aa
PORTABEL    p ao r t aa b ## l
PORTAL    p ao r t aa l
PORTEPEL    p ao r t ## p ## l
PORTIK    p ao r t ih k
PORTIR    p ao r t ih r
PORTO    p ao r t ao
PORTOFOLIO    p ao r t ao f ao l ih ao
POS    p ao s
POSE    p ao s ##
POSER    p ao s ## r
POSESIF    p ao s ## s ih f
POSISI    p ao s ih s ih
POSITIF    p ao s ih t ih f
POSITIVISME    p ao s ih t ih f ih s m ##
POSITIVISTIK    p ao s ih t ih f ih s t ih k
POSITRON    p ao s ih t r ao n
POSITRONIUM    p ao s ih t r ao n ih uw m
POSKAR    p ao s k aa r
POSO    p ao s ao
POSOLOGI    p ao s ao l ao g ih
POSTAR    p ao s t aa r
POSTER    p ao s t ## r
POSTERIOR    p ao s t ## r ih ao r
POSTULAT    p ao s t uw l aa t
POSTUR    p ao s t uw r
POT    p ao t
POTAS    p ao t aa s
POTASIUM    p ao t aa s ih uw m
POTATOR    p ao t aa t ao r
POTEHI    p ao t ## hh ih
POTEL    p ao t ## l
POTENSI    p ao t ## n s ih
POTENSIAL    p ao t ## n s ih aa l
POTENSIOMETER    p ao t ## n s ih ao m ## t ## r
POTIA    p ao t ih aa
POTLOT    p ao t l ao t
POTOL    p ao t ao l
POTONG    p ao t ao ng
POTRET    p ao t r ## t
POUNDAL    p ao uw n d aa l
POYANG    p ao y aa ng
PRA-    p r aa
PRAANGGAPAN    p r aa aa ng g aa p aa n
PRABA    p r aa b aa
PRABU    p r aa b uw
PRADANA    p r aa d aa n aa
PRADESA    p r aa d ## s aa
PRADESAIN    p r aa d ## s ## n
PRADINI    p r aa d ih n ih
PRADUGA    p r aa d uw g aa
PRAGMATIK    p r aa g m aa t ih k
PRAGMATIKA    p r aa g m aa t ih k aa
PRAGMATIS    p r aa g m aa t ih s
PRAGMATISME    p r aa g m aa t ih s m ##
PRAH    p r aa hh
PRAHARA    p r aa hh aa r aa
PRAHOTO    p r aa hh ao t ao
PRAIRI    p r ## r ih
PRAJA    p r aa jh aa
PRAJAKSA    p r aa jh aa k s aa
PRAJURIT    p r aa jh uw r ih t
PRAKALA    p r aa k aa l aa
PRAKARSA    p r aa k aa r s aa
PRAKARYA    p r aa k aa r y aa
PRAKATA    p r aa k aa t aa
PRAKILANG    p r aa k ih l aa ng
PRAKIRA    p r aa k ih r aa
PRAKONDISI    p r aa k ao n d ih s ih
PRAKONSEPSI    p r aa k ao n s ## p s ih
PRAKSIS    p r aa k s ih s
PRAKTEK    p r aa k t ## k
PRAKTIK    p r aa k t ih k
PRAKTIKAN    p r aa k t ih k aa n
PRAKTIKUM    p r aa k t ih k uw m
PRAKTIS    p r aa k t ih s
PRAKTISI    p r aa k t ih s ih
PRALAHIR    p r aa l aa hh ih r
PRAMENSTRUASI    p r aa m ## n s t r uw aa s ih
PRAMESWARI    p r aa m ## s w aa r ih
PRAMODERN    p r aa m ao d ## r n
PRAMUBAKTI    p r aa m uw b aa k t ih
PRAMUBARANG    p r aa m uw b aa r aa ng
PRAMUBAYI    p r aa m uw b aa y ih
PRAMUDI    p r aa m uw d ih
PRAMUGARA    p r aa m uw g aa r aa
PRAMUGARI    p r aa m uw g aa r ih
PRAMUJASA    p r aa m uw jh aa s aa
PRAMUKA    p r aa m uw k aa
PRAMUKAMAR    p r aa m uw k aa m aa r
PRAMUNIAGA    p r aa m uw n ih aa g aa
PRAMUPINTU    p r aa m uw p ih n t uw
PRAMURIA    p r aa m uw r ih aa
PRAMUSAJI    p r aa m uw s aa jh ih
PRAMUSIWI    p r aa m uw s ih w ih
PRAMUTAMU    p r aa m uw t aa m uw
PRAMUWISATA    p r aa m uw w ih s aa t aa
PRAMUWISMA    p r aa m uw w ih s m aa
PRANALA    p r aa n aa l aa
PRANATA    p r aa n aa t aa
PRANATACARA    p r aa n aa t aa ch aa r aa
PRANATAL    p r aa n aa t aa l
PRANGAS    p r aa ng aa s
PRANGKO    p r aa ng k ao
PRANIKAH    p r aa n ih k aa hh
PRAPALATAL    p r aa p aa l aa t aa l
PRAPATAN    p r aa p aa t aa n
PRAPENDAPAT    p r aa p ## n d aa p aa t
PRAPERADILAN    p r aa p ## r aa d ih l aa n
PRAPROMOSI    p r aa p r ao m ao s ih
PRAPUBER    p r aa p uw b ## r
PRAPUBERTAS    p r aa p uw b ## r t aa s
PRAPUNA    p r aa p uw n aa
PRAPUSTAKA    p r aa p uw s t aa k aa
PRARASA    p r aa r aa s aa
PRAREKAM    p r aa r ## k aa m
PRAREMAJA    p r aa r ## m aa jh aa
PRASAJA    p r aa s aa jh aa
PRASANGKA    p r aa s aa ng k aa
PRASARAN    p r aa s aa r aa n
PRASARANA    p r aa s aa r aa n aa
PRASASTI    p r aa s aa s t ih
PRASAWYA    p r aa s aa w y aa
PRASEJAHTERA    p r aa s ## jh aa hh t ## r aa
PRASEJARAH    p r aa s ## jh aa r aa hh
PRASEKOLAH    p r aa s ## k ao l aa hh
PRASEMINAR    p r aa s ## m ih n aa r
PRASEODIMIUM    p r aa s ## ao d ih m ih uw m
PRASETIA    p r aa s ## t ih aa
PRASI    p r aa s ih
PRASMANAN    p r aa s m aa n aa n
PRASTUDI    p r aa s t uw d ih
PRASYARAT    p r aa sh aa r aa t
PRATERSIER    p r aa t ## r s ih ## r
PRATINJAU    p r aa t ih n jh ##
PRAWACANA    p r aa w aa ch aa n aa
PRAWIRA    p r aa w ih r aa
PRAYANG    p r aa y aa ng
PRAYITNA    p r aa y ih t n aa
PRAYOJANA    p r aa y ao jh aa n aa
PRAYUWANA    p r aa y uw w aa n aa
PRE-    p r ##
PREADVIS    p r ## aa d f ih s
PREAMBUL    p r ## aa m b uw l
PREANTENA    p r ## aa n t ## n aa
PREASETABULUM    p r ## aa s ## t aa b uw l uw m
PREDASI    p r ## d aa s ih
PREDATOR    p r ## d aa t ao r
PREDESTINASI    p r ## d ## s t ih n aa s ih
PREDIKAT    p r ## d ih k aa t
PREDIKATIF    p r ## d ih k aa t ih f
PREDIKSI    p r ## d ih k s ih
PREDISPOSISI    p r ## d ih s p ao s ih s ih
PREFERENSI    p r ## f ## r ## n s ih
PREFIKS    p r ## f ih k s
PREHISTORI    p r ## hh ih s t ao r ih
PREI    p r ##
PREKOSITAS    p r ## k ao s ih t aa s
PREKURSOR    p r ## k uw r s ao r
PRELIMINER    p r ## l ih m ih n ## r
PRELUDE    p r ## l uw d ##
PREMAN    p r ## m aa n
PREMATUR    p r ## m aa t uw r
PREMI    p r ## m ih
PREMIS    p r ## m ih s
PREMIUM    p r ## m ih uw m
PREMOLAR    p r ## m ao l aa r
PRENATAL    p r ## n aa t aa l
PRENJAK    p r ## n jh aa k
PREPARAT    p r ## p aa r aa t
PREPOSISI    p r ## p ao s ih s ih
PREPOTENSI    p r ## p ao t ## n s ih
PREROGATIF    p r ## r ao g aa t ih f
PRES    p r ## s
PRESBIOPIA    p r ## s b ih ao p ih aa
PRESBITERIUM    p r ## s b ih t ## r ih uw m
PRESEDEN    p r ## s ## d ## n
PRESENSI    p r ## s ## n s ih
PRESENTABEL    p r ## s ## n t aa b ## l
PRESENTASI    p r ## s ## n t aa s ih
PRESENTIL    p r ## s ## n t ih l
PRESERVASI    p r ## s ## r f aa s ih
PRESESI    p r ## s ## s ih
PRESIDEN    p r ## s ih d ## n
PRESIDENSIAL    p r ## s ih d ## n s ih aa l
PRESIDENTIL    p r ## s ih d ## n t ih l
PRESIDIUM    p r ## s ih d ih uw m
PRESIOSITAS    p r ## s ih ao s ih t aa s
PRESIPITASI    p r ## s ih p ih t aa s ih
PRESISI    p r ## s ih s ih
PRESKRIPSI    p r ## s k r ih p s ih
PRESKRIPTIF    p r ## s k r ih p t ih f
PRESTASI    p r ## s t aa s ih
PRESTISE    p r ## s t ih s ##
PRESTISIUS    p r ## s t ih s ih uw s
PRESTO    p r ## s t ao
PRESUMSI    p r ## s uw m s ih
PRETEL    p r ## t ## l
PRETENSI    p r ## t ## n s ih
PREVALENSI    p r ## f aa l ## n s ih
PREVENTIF    p r ## f ## n t ih f
PREVIEW    p r ## f ih ## w
PREWANGAN    p r ## w aa ng aa n
PRIA    p r ih aa
PRIAGUNG    p r ih aa g uw ng
PRIAYI    p r ih aa y ih
PRIBADI    p r ih b aa d ih
PRIBUMI    p r ih b uw m ih
PRIHATIN    p r ih hh aa t ih n
PRIMA    p r ih m aa
PRIMADONA    p r ih m aa d ao n aa
PRIMAS    p r ih m aa s
PRIMATA    p r ih m aa t aa
PRIMBON    p r ih m b ao n
PRIMER    p r ih m ## r
PRIMITIF    p r ih m ih t ih f
PRIMOGENETUR    p r ih m ao g ## n ## t uw r
PRIMORDIAL    p r ih m ao r d ih aa l
PRIMORDIALISME    p r ih m ao r d ih aa l ih s m ##
PRIMPEN    p r ih m p ## n
PRINGAS-PRINGIS    p r ih ng aa s p r ih ng ih s
PRINGGITAN    p r ih ng g ih t aa n
PRINSIP    p r ih n s ih p
PRINSIPIIL    p r ih n s ih p ih ih l
PRIORITAS    p r ih ao r ih t aa s
PRIPIH    p r ih p ih hh
PRIS    p r ih s
PRISMA    p r ih s m aa
PRIT    p r ih t
PRIVASI    p r ih f aa s ih
PRIVAT    p r ih f aa t
PRIVATISASI    p r ih f aa t ih s aa s ih
PRIVE    p r ih f ##
PRIVILESE    p r ih f ih l ## s ##
PRO    p r ao
PRO-    p r ao
PROAKTIF    p r ao aa k t ih f
PROBABILITAS    p r ao b aa b ih l ih t aa s
PROBLEM    p r ao b l ## m
PROBLEMATIK    p r ao b l ## m aa t ih k
PROCOT    p r ao ch ao t
PRODEMOKRASI    p r ao d ## m ao k r aa s ih
PRODEO    p r ao d ## ao
PRODUK    p r ao d uw k
PRODUKSI    p r ao d uw k s ih
PRODUKTIF    p r ao d uw k t ih f
PRODUKTIVITAS    p r ao d uw k t ih f ih t aa s
PRODUSEN    p r ao d uw s ## n
PRODUSER    p r ao d uw s ## r
PROENZIM    p r ao ## n z ih m
PROF    p r ao f
PROFAN    p r ao f aa n
PROFANITAS    p r ao f aa n ih t aa s
PROFASE    p r ao f aa s ##
PROFESI    p r ao f ## s ih
PROFESIONAL    p r ao f ## s ih ao n aa l
PROFESIONALISME    p r ao f ## s ih ao n aa l ih s m ##
PROFESIONALITAS    p r ao f ## s ih ao n aa l ih t aa s
PROFESOR    p r ao f ## s ao r
PROFETIK    p r ao f ## t ih k
PROFIL    p r ao f ih l
PROFILAKSIS    p r ao f ih l aa k s ih s
PROFIT    p r ao f ih t
PROFITABEL    p r ao f ih t aa b ## l
PROFITABILITAS    p r ao f ih t aa b ih l ih t aa s
PROFORMA    p r ao f ao r m aa
PROGENI    p r ao g ## n ih
PROGESTERON    p r ao g ## s t ## r ao n
PROGNOSIS    p r ao g n ao s ih s
PROGRAM    p r ao g r aa m
PROGRAMA    p r ao g r aa m aa
PROGRES    p r ao g r ## s
PROGRESIF    p r ao g r ## s ih f
PROGRESIVITAS    p r ao g r ## s ih f ih t aa s
PROHIBISI    p r ao hh ih b ih s ih
PROKLAMASI    p r ao k l aa m aa s ih
PROKLAMATOR    p r ao k l aa m aa t ao r
PROKLITIK    p r ao k l ih t ih k
PROKSIMAL    p r ao k s ih m aa l
PROKSIMAT    p r ao k s ih m aa t
PROKURASI    p r ao k uw r aa s ih
PROKURATOR    p r ao k uw r aa t ao r
PROLAT    p r ao l aa t
PROLEGOMENA    p r ao l ## g ao m ## n aa
PROLEKSEM    p r ao l ## k s ## m
PROLETAR    p r ao l ## t aa r
PROLETARIAT    p r ao l ## t aa r ih aa t
PROLETARISASI    p r ao l ## t aa r ih s aa s ih
PROLIFERASI    p r ao l ih f ## r aa s ih
PROLOG    p r ao l ao g
PROMENADE    p r ao m ## n aa d ##
PROMETIUM    p r ao m ## t ih uw m
PROMINEN    p r ao m ih n ## n
PROMINENSIA    p r ao m ih n ## n s ih aa
PROMISKUITAS    p r ao m ih s k uw ih t aa s
PROMONTORIUM    p r ao m ao n t ao r ih uw m
PROMOSI    p r ao m ao s ih
PROMOTIF    p r ao m ao t ih f
PROMOTOR    p r ao m ao t ao r
PROMOVENDUS    p r ao m ao f ## n d uw s
PRONOMINA    p r ao n ao m ih n aa
PRONOMINAL    p r ao n ao m ih n aa l
PRONOMINALISASI    p r ao n ao m ih n aa l ih s aa s ih
PROP    p r ao p
PROPAGANDA    p r ao p aa g aa n d aa
PROPAGANDIS    p r ao p aa g aa n d ih s
PROPANA    p r ao p aa n aa
PROPELAN    p r ao p ## l aa n
PROPELER    p r ao p ## l ## r
PROPERTI    p r ao p ## r t ih
PROPFAN    p r ao p f aa n
PROPILENA    p r ao p ih l ## n aa
PROPINSI    p r ao p ih n s ih
PROPORSI    p r ao p ao r s ih
PROPORSIONAL    p r ao p ao r s ih ao n aa l
PROPOSAL    p r ao p ao s aa l
PROPOSISI    p r ao p ao s ih s ih
PROPULSI    p r ao p uw l s ih
PROSA    p r ao s aa
PROSAIS    p r ao s ## s
PROSEDE    p r ao s ## d ##
PROSEDUR    p r ao s ## d uw r
PROSEDURAL    p r ao s ## d uw r aa l
PROSENIUM    p r ao s ## n ih uw m
PROSES    p r ao s ## s
PROSESI    p r ao s ## s ih
PROSESOR    p r ao s ## s ao r
PROSKONION    p r ao s k ao n ih ao n
PROSKRIPTIVISME    p r ao s k r ih p t ih f ih s m ##
PROSODI    p r ao s ao d ih
PROSODIS    p r ao s ao d ih s
PROSPEK    p r ao s p ## k
PROSPEKSI    p r ao s p ## k s ih
PROSPEKTIF    p r ao s p ## k t ih f
PROSPEKTUS    p r ao s p ## k t uw s
PROSTAGLANDIN    p r ao s t aa g l aa n d ih n
PROSTAT    p r ao s t aa t
PROSTITUSI    p r ao s t ih t uw s ih
PROTAGONIS    p r ao t aa g ao n ih s
PROTAKTINIUM    p r ao t aa k t ih n ih uw m
PROTANDRI    p r ao t aa n d r ih
PROTANDRIS    p r ao t aa n d r ih s
PROTASIS    p r ao t aa s ih s
PROTEID    p r ao t ## d
PROTEIN    p r ao t ## n
PROTEINURIA    p r ao t ## n uw r ih aa
PROTEKSI    p r ao t ## k s ih
PROTEKSIONISME    p r ao t ## k s ih ao n ih s m ##
PROTEKTIF    p r ao t ## k t ih f
PROTEKTORAT    p r ao t ## k t ao r aa t
PROTEOLISIS    p r ao t ## ao l ih s ih s
PROTEOLITIK    p r ao t ## ao l ih t ih k
PROTES    p r ao t ## s
PROTESE    p r ao t ## s ##
PROTESIS    p r ao t ## s ih s
PROTESTAN    p r ao t ## s t aa n
PROTESTANTISME    p r ao t ## s t aa n t ih s m ##
PROTISTA    p r ao t ih s t aa
PROTO    p r ao t ao
PROTOFON    p r ao t ao f ao n
PROTOGENESIS    p r ao t ao g ## n ## s ih s
PROTOKOL    p r ao t ao k ao l
PROTOKOLER    p r ao t ao k ao l ## r
PROTOLISIS    p r ao t ao l ih s ih s
PROTOLITIK    p r ao t ao l ih t ih k
PROTON    p r ao t ao n
PROTONEOLITIK    p r ao t ao n ## ao l ih t ih k
PROTOPLASMA    p r ao t ao p l aa s m aa
PROTORAKS    p r ao t ao r aa k s
PROTOTIPE    p r ao t ao t ih p ##
PROTOZOA    p r ao t ao z ao aa
PROTROMBIN    p r ao t r ao m b ih n
PROTUBERANSIA    p r ao t uw b ## r aa n s ih aa
PROVINSI    p r ao f ih n s ih
PROVINSIALISME    p r ao f ih n s ih aa l ih s m ##
PROVISI    p r ao f ih s ih
PROVISIONAL    p r ao f ih s ih ao n aa l
PROVITAMIN    p r ao f ih t aa m ih n
PROVOKASI    p r ao f ao k aa s ih
PROVOKATIF    p r ao f ao k aa t ih f
PROVOKATOR    p r ao f ao k aa t ao r
PROVOKATUR    p r ao f ao k aa t uw r
PROVOS    p r ao f ao s
PROYEK    p r ao y ## k
PROYEKSI    p r ao y ## k s ih
PROYEKTIL    p r ao y ## k t ih l
PROYEKTOR    p r ao y ## k t ao r
PRUDENSIAL    p r uw d ## n s ih aa l
PRURIGO    p r uw r ih g ao
PSALM    p s aa l m
PSAMOLITORAL    p s aa m ao l ih t ao r aa l
PSEUDO    p s ## uw d ao
PSEUDOKATA    p s ## uw d ao k aa t aa
PSEUDOMORF    p s ## uw d ao m ao r f
PSEUDONIM    p s ## uw d ao n ih m
PSI    p s ih
PSIKE    p s ih k ##
PSIKIATER    p s ih k ih aa t ## r
PSIKIATRI    p s ih k ih aa t r ih
PSIKIS    p s ih k ih s
PSIKOANALISIS    p s ih k ao aa n aa l ih s ih s
PSIKODRAMA    p s ih k ao d r aa m aa
